,lat,lon,place_name,total_facility_available_name,large_range_category
40601,37.513018,127.11353600000001,송파근린공원 화장실 화장실,장애인용 화장실,화장실
45542,37.526730799999996,126.90339660000001,전화국 뒤-1 화장실,장애인용 화장실,화장실
46189,37.5349309,126.9027301,당산 화장실,장애인용 화장실,화장실
46192,37.5500077,126.91450390000001,합정 화장실,장애인용 화장실,화장실
46195,37.5567292,126.92364189999999,홍대입구 화장실,장애인용 화장실,화장실
46198,37.5546671,126.93749950000002,신촌 화장실,장애인용 화장실,화장실
46201,37.5568129,126.94771180000001,이대 화장실,장애인용 화장실,화장실
46206,37.5558896,126.95566090000001,아현 화장실,장애인용 화장실,화장실
46212,37.55949260000001,126.9638176,충정로 화장실,장애인용 화장실,화장실
46217,37.63753670000001,126.9185875,구파발 화장실,장애인용 화장실,화장실
46220,37.6188881,126.920832,연신내 화장실,장애인용 화장실,화장실
46223,37.610482899999994,126.9292884,불광 화장실,장애인용 화장실,화장실
46228,37.6007017,126.93600479999999,녹번 화장실,장애인용 화장실,화장실
46233,37.588671999999995,126.94422659999998,홍제 화장실,장애인용 화장실,화장실
46236,37.5823607,126.9504375,무악재 화장실,장애인용 화장실,화장실
46239,37.5743009,126.95591780000001,독립문 화장실,장애인용 화장실,화장실
46242,37.5758199,126.97305790000001,경복궁 화장실,장애인용 화장실,화장실
46247,37.57669600000001,126.98580359999998,안국 화장실,장애인용 화장실,화장실
46252,37.571195700000004,126.9919594,종로3가(3)(지하3층) 화장실,장애인용 화장실,화장실
46255,37.5664121,126.9941848,을지로3가(3) 화장실,장애인용 화장실,화장실
46258,37.5592266,127.005275,동대입구 화장실,장애인용 화장실,화장실
46261,37.554379499999996,127.01101640000002,약수 화장실,장애인용 화장실,화장실
46264,37.5480381,127.01588259999998,금호 화장실,장애인용 화장실,화장실
46267,37.5466746,127.01624479999998,옥수(3층 환승통로측) 화장실,장애인용 화장실,화장실
46270,37.569744,127.0469446,신답 화장실,장애인용 화장실,화장실
46273,37.523526399999994,127.0283255,압구정 화장실,장애인용 화장실,화장실
46276,37.5163915,127.02030729999998,신사 화장실,장애인용 화장실,화장실
46281,37.513081799999995,127.0118568,잠원 화장실,장애인용 화장실,화장실
46286,37.4866605,127.01521840000001,남부터미널 화장실,장애인용 화장실,화장실
46186,37.525656299999994,126.8966142,영등포구청 화장실,장애인용 화장실,화장실
46289,37.4847605,127.033371,양재 화장실,장애인용 화장실,화장실
46183,37.5178873,126.89475130000001,문래 화장실,장애인용 화장실,화장실
46176,37.5125175,126.8657108,양천구청 화장실,장애인용 화장실,화장실
46052,37.565281299999995,127.0166395,신당 화장실,장애인용 화장실,화장실
46059,37.5639331,127.02979309999999,상왕십리 화장실,장애인용 화장실,화장실
46062,37.5622586,127.03722759999998,왕십리 화장실,장애인용 화장실,화장실
46065,37.555259299999996,127.04365790000001,한양대 화장실,장애인용 화장실,화장실
46071,37.5471773,127.04738020000002,뚝섬 화장실,장애인용 화장실,화장실
46074,37.5446009,127.05688470000001,성수 화장실,장애인용 화장실,화장실
46077,37.5586888,127.05317240000002,용답 화장실,장애인용 화장실,화장실
46082,37.5738576,127.03798959999999,용두(내선 대합실) 화장실,장애인용 화장실,화장실
46085,37.5407487,127.06900139999999,건대입구 화장실,장애인용 화장실,화장실
46090,37.5382826,127.09075530000001,구의 화장실,장애인용 화장실,화장실
46093,37.5354211,127.09453300000001,강변 화장실,장애인용 화장실,화장실
46097,37.5186216,127.1049002,잠실나루 화장실,장애인용 화장실,화장실
46100,37.5176605,127.0746594,잠실 화장실,장애인용 화장실,화장실
46104,37.51156810000001,127.0906077,신천 화장실,장애인용 화장실,화장실
46107,37.508826299999996,127.0630673,삼성 화장실,장애인용 화장실,화장실
46113,37.4981284,127.02830300000001,역삼 화장실,장애인용 화장실,화장실
46118,37.4948466,127.0172856,교대(2) 화장실,장애인용 화장실,화장실
46126,37.492764799999996,127.01054140000001,서초 화장실,장애인용 화장실,화장실
46131,37.4812965,126.9973202,방배 화장실,장애인용 화장실,화장실
46139,37.4764838,126.9813957,사당(2)(방배역측) 화장실,장애인용 화장실,화장실
46143,37.4770283,126.96339590000001,낙성대 화장실,장애인용 화장실,화장실
46148,37.4811133,126.95263440000001,서울대입구 화장실,장애인용 화장실,화장실
46153,37.4825178,126.94148100000001,봉천 화장실,장애인용 화장실,화장실
46158,37.4841776,126.92978870000002,신림 화장실,장애인용 화장실,화장실
46163,37.4851265,126.9015288,구로디지털단지 화장실,장애인용 화장실,화장실
46169,37.50868670000001,126.8909033,신도림(게이트 내) 화장실,장애인용 화장실,화장실
