place_id,place_name,lat,lon,place_address,category
14678,주현교회,37.6151782,127.0874912,서울특별시 중랑구 신내로15길 189,other
14679,중구청소년수련관,37.5793379,127.0958036,서울특별시 중랑구 사가정로72길 47,other
14680,중랑구립정보도서관,37.6001495,127.1043514,서울특별시 중랑구 망우로 472,other
14681,중랑구민체육센터,37.5872283,126.993115,서울특별시 종로구 성균관로 25-2,other
14682,중랑문화체육관,37.5022752,127.0641708,서울특별시 강남구 영동대로65길 24,other
14683,중랑웨딩문화원,37.573901,126.9232044,서울특별시 서대문구 모래내로 215,other
14684,중앙학술정보관,37.546658,127.052593,서울특별시 성동구 아차산로5길  10,other
14685,즐거운 도서관,37.5733194,127.0166626,서울특별시 종로구 종로 359,other
14686,지명교회,37.6445858,126.9304454,서울특별시 은평구 진관4로  78-27,other
14687,지영프라자,37.5143149,126.8417344,서울특별시 양천구 신정로13길 56,other
14688,지하철동묘앞역,37.6764633,127.0567432,서울특별시 노원구 동일로242나길 20,other
14689,진관교회,37.5444114,127.0622824,서울특별시 성동구 성수이로24길   37,other
14690,진리등대교회,37.5592668,127.0068751,서울특별시 중구 동호로 246,other
14691,진성교회,37.6588062,127.0458981,서울특별시 도봉구 마들로13길 192,other
14692,진영지업,37.6537899,127.0440648,서울특별시 도봉구 노해로63가길 15-15,other
14693,참사랑교회,37.5570491,126.9403945,서울특별시 서대문구 연세로2길 69,other
14694,창4동성당,37.6375973,127.0364767,서울특별시 도봉구 덕릉로  213,other
14695,창5동성당,37.6581144,127.0371817,서울특별시 도봉구 도봉로133길  50,other
14696,창광교회,37.6479521,127.0351815,서울특별시 도봉구 도봉로110나길  45,other
14697,창동감리교회,37.6580111,127.0506166,서울특별시 도봉구 노해로69길 132,other
14698,창동교회,37.6597352,127.0446711,서울특별시 도봉구 도봉로136길 61,other
14699,창동성당,37.6547802,127.0410497,서울특별시 도봉구 해등로   126,other
14700,창동운동장,37.638972,127.0405222,서울특별시 도봉구 덕릉로60길 43-18,other
14701,창동자동차운전전문학원,37.5127415,126.8510983,서울특별시 양천구 신정로 273-3,other
14702,창동제일교회,37.5591581,126.9376766,서울특별시 서대문구 연세로  38,other
14703,창성교회,37.617409,126.9342172,서울특별시 은평구 불광로10길  20-8,other
14704,창일교회,37.4710552,126.8952869,서울특별시 금천구 두산로13길  20,other
14705,창천교회백주년기념관,37.5541781,127.0334355,서울특별시 성동구 독서당로  435,other
14706,천간사,37.4977949,126.9002913,서울특별시 영등포구 도림로53길 28,other
14707,천리교구로교회,37.5575273,127.0163484,서울특별시 중구 다산로24길 73,other
14708,천성교회,37.5862076,127.0027429,서울특별시 종로구 창경궁로 288,other
14709,천주교 대림3동성당,37.5688134,126.8497361,서울특별시 강서구 허준로  69,other
14710,천주교 청구성당,37.4910978,127.1436266,서울특별시 송파구 양산로,other
14711,천주교 혜화동성당,37.6039095,127.0202666,서울특별시 성북구 길음로9길 74,other
14712,천주교가양성당,37.5557123,126.8617108,서울특별시 강서구 공항대로55길 61,other
14713,천주교거여동성당,37.5664729,127.0426441,서울특별시 성동구 마장로39가길  24,other
14714,천주교길음동성당,37.5300432,127.1297185,서울특별시 강동구 성내로15길 58,other
14715,천주교등촌1동교회,37.4714853,126.8898635,서울특별시 금천구 두산로5길  19,other
14716,천주교마장동성당,37.484721,127.094872,서울특별시 강남구 광평로 199,other
14717,천주교성내동성당,37.6338161,127.0179238,서울특별시 강북구 삼양로 336-15,other
14718,천주교성당,37.5610939,127.0189939,서울특별시 중구 다산로36가길 7,other
14719,천주교수서동성당,37.5215518,126.9390178,서울특별시 영등포구 여의동로 257,other
14720,천주교수유동교회,37.5638735,126.929143,서울특별시 서대문구 연희로 64-4,other
14721,천주교신당동교회 가동,37.5368423,126.9523042,서울특별시 용산구 효창원로15길 37,other
14722,천주교여의도교회,37.6562077,127.0166816,서울특별시 도봉구 우이천로48길  17,other
14723,천주교연희동교회,37.5338508,127.0683604,서울특별시 광진구 능동로4길 13,other
14724,천주교용산교회,37.5040765,127.0795623,서울특별시 송파구 백제고분로12길 26,other
14725,천주교우이성당,37.5314128,127.1108127,서울특별시 송파구 토성로1길  21,other
14726,천주교자양동성당,37.5555748,127.0320659,서울특별시 성동구 행당로6길  74,other
14727,천주교잠실7동 성당,37.508723,126.9604614,서울특별시 동작구 흑석로13길 3,other
14728,천주교풍납동교회,37.4993632,127.009721,서울특별시 서초구 고무래로10길  38,other
14729,천주교행당동성당,37.5453167,127.1361991,서울특별시 강동구 천중로27길 51,other
14730,천주교회,37.5845308,127.045414,서울특별시 동대문구 약령시로21길 25,other
14731,천주반포4동성당,37.5755519,127.0453568,서울특별시 동대문구 황물로 15,other
14732,천호제일교회,37.5844201,127.0449523,서울특별시 동대문구 홍릉로8길 14,other
14733,청량리교회,37.4771294,127.0518616,서울특별시 강남구 개포로28길 47,other
14734,청량리교회,37.5346476,126.8609068,서울특별시 강서구 곰달래로57가길  26,other
14735,청량리성당,37.5942664,126.9245555,서울특별시 은평구 백련산로4길 16,other
14736,청암교회,37.5,127,,etc
14737,청소년드림센터(용도변경),37.5355566,126.9483593,서울특별시 용산구 새창로8길  183,other
14738,청소년수련관,37.4956662,127.045214,서울특별시 강남구 언주로65길 6,other
14739,청소년수련관,37.5927143,126.9239583,서울특별시 은평구 백련산로2길 7,other
14740,청암샘물교회,37.5717633,126.9912721,서울특별시 종로구 돈화문로5가길 23,other
14741,청운교회,37.6474615,127.0414904,서울특별시 도봉구 해등로3길 48-11,other
14742,청죽교회,37.4875526,126.9821742,서울특별시 동작구 동작대로 117,other
14743,초동교회,37.5818698,126.9107423,서울특별시 서대문구 응암로1길  16,other
14744,초안산운동장,37.4877772,126.8986858,서울특별시 영등포구 디지털로 338-8,other
14745,총신대입구역,37.5028907,127.0363589,서울특별시 강남구 논현로 518,other
14746,충신교회,37.59355,127.0000222,서울특별시 성북구 성북로 80,other
14747,충심교회,37.5060995,127.0668215,서울특별시 강남구 역삼로 607,other
14748,충현교회,37.4826396,126.8787858,서울특별시 금천구 가산디지털1로  205-29,other
14749,카톨릭교리신학원,37.546586,127.0608146,서울특별시 성동구 아차산로11가길  3,other
14750,컨벤션 디아망,37.4843838,126.880557,서울특별시 금천구 가산디지털1로  212,other
14751,케이씨씨웰츠밸리,37.5398135,126.8946578,서울특별시 영등포구 양평로22길 21,other
14752,케이투코리아,37.4851632,126.8988326,서울특별시 구로구 디지털로34길 43,other
14753,코오롱 디지털타워 애스턴,37.4841595,126.8994585,서울특별시 구로구 디지털로34길 55,other
14754,코오롱디지털타워,37.5792347,126.8100014,서울특별시 강서구 금낭화로  232,other
14755,코오롱싸이언스벨리1차,37.4880195,127.0173334,서울특별시 서초구 사임당로12길 23,other
14756,코오롱싸이언스벨리2차,37.4757306,126.9598208,서울특별시 관악구 낙성대로3길 5,other
14757,큰나무교회(방화중앙교회),37.5396267,126.8912392,서울특별시 영등포구 양평로 153,other
14758,큰빛교회,37.4852224,126.8949784,서울특별시 구로구 디지털로31길 12,other
14759,큰은혜교회,37.4753207,126.967372,서울특별시 관악구 남부순환로  1968,other
14760,키즈스포츠클럽,37.5244351,126.9693703,서울특별시 용산구 서빙고로 39,other
14761,태양물산주식회사,37.5083033,127.0399368,서울특별시 강남구 언주로 564,other
14762,텐디빌딩,37.4939188,126.8176337,서울특별시 구로구 부일로1나길 14,other
14763,통일교세계본부교회,37.4732468,126.8843421,서울특별시 금천구 가산디지털1로  83,other
14764,트라움하우스,37.4829464,126.8986181,서울특별시 구로구 디지털로32가길  16,other
14765,파라시스템,37.6033737,127.0953593,서울특별시 중랑구 신내로 47-1,other
14766,파트너스타워1,37.4918246,126.8450794,서울특별시 구로구 오류로8라길 50,other
14767,파트너스타워2차,37.5462643,127.1277733,서울특별시 강동구 올림픽로88길 28,other
14768,평강교회,37.5031156,126.8532376,서울특별시 구로구 고척로52가길 57,other
14769,평강제일교회,37.5530975,126.8329246,서울특별시 강서구 강서로47길  60,other
14770,평성교회,37.5419531,127.0606258,서울특별시 성동구 성수이로18길 31,other
14771,평화교회,37.4723382,126.897007,서울특별시 금천구 가산로 50-15,other
14772,풍년교회,37.5754251,126.9700132,서울특별시 종로구 사직로8길 9,other
14773,풍림테크원,37.4780456,126.9601733,서울특별시 관악구 남부순환로 1900,other
14774,플러스기획(세정),37.5873075,127.0669017,서울특별시 동대문구 한천로53길 6,other
14775,필운동 천주교 성당,37.4849014,127.0307529,서울특별시 서초구 강남대로37길 50,other
